Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
8600000US10305,10305,ZCTA5 10305,42311,1711,34670,1426,7641,1094
8600000US10306,10306,ZCTA5 10306,54021,1693,46147,1411,7874,1218
8600000US10307,10307,ZCTA5 10307,15528,807,14085,855,1443,399
8600000US10308,10308,ZCTA5 10308,30024,1266,26718,1294,3306,754
8600000US10309,10309,ZCTA5 10309,33660,1430,30977,1377,2683,603
8600000US10310,10310,ZCTA5 10310,23708,1027,16399,873,7309,895
8600000US10311,10311,ZCTA5 10311,0,11,0,11,0,11
8600000US10312,10312,ZCTA5 10312,61058,1405,55047,1384,6011,786
8600000US10314,10314,ZCTA5 10314,89960,2032,77226,1887,12734,1316
8600000US10451,10451,ZCTA5 10451,48240,1839,20259,1337,27981,1627
8600000US10452,10452,ZCTA5 10452,77983,2158,23916,1716,54067,2281
8600000US10453,10453,ZCTA5 10453,82232,2521,25671,1286,56561,2381
8600000US10454,10454,ZCTA5 10454,38654,1580,11773,960,26881,1479
8600000US10455,10455,ZCTA5 10455,42558,1720,11515,1036,31043,1841
8600000US10456,10456,ZCTA5 10456,94667,2387,37620,1897,57047,2380
8600000US10457,10457,ZCTA5 10457,75668,2309,27602,1458,48066,2323
8600000US10458,10458,ZCTA5 10458,85157,2197,26274,1498,58883,2420
8600000US10459,10459,ZCTA5 10459,48895,1631,15497,1210,33398,1283
8600000US10460,10460,ZCTA5 10460,60772,1658,17495,1464,43277,1970
8600000US10461,10461,ZCTA5 10461,51021,1630,28148,1092,22873,1425
8600000US10462,10462,ZCTA5 10462,79188,1809,41346,1728,37842,1736
8600000US10463,10463,ZCTA5 10463,72863,2332,36276,1507,36587,2165
8600000US10464,10464,ZCTA5 10464,4517,592,3258,443,1259,499
8600000US10465,10465,ZCTA5 10465,44269,1252,25674,1270,18595,1402
8600000US10466,10466,ZCTA5 10466,73569,2058,56888,2016,16681,1324
8600000US10467,10467,ZCTA5 10467,102718,2762,49005,2113,53713,2392
8600000US10468,10468,ZCTA5 10468,77657,2662,19994,1171,57663,2791
8600000US10469,10469,ZCTA5 10469,73008,2060,52791,2125,20217,1637
8600000US10470,10470,ZCTA5 10470,14592,914,11684,868,2908,585
8600000US10471,10471,ZCTA5 10471,22040,1144,17192,935,4848,640
8600000US10472,10472,ZCTA5 10472,68924,2053,25214,1602,43710,2023
8600000US10473,10473,ZCTA5 10473,62531,2182,24336,1734,38195,1987
8600000US10474,10474,ZCTA5 10474,12608,867,3999,617,8609,837
8600000US10475,10475,ZCTA5 10475,44241,2879,30113,2470,14128,2071
8600000US10501,10501,ZCTA5 10501,1239,197,1131,190,108,59
8600000US10502,10502,ZCTA5 10502,5619,224,5184,289,435,177
8600000US10503,10503,ZCTA5 10503,137,58,121,53,16,26
8600000US10504,10504,ZCTA5 10504,8052,320,7625,355,427,183
8600000US10505,10505,ZCTA5 10505,960,245,871,254,89,85
