GEO_TYPE,GEO_ID,GEO_LABEL,GEO_DISPLAY_NAME,,Latino ,White ,Black ,Native American ,Asian or Pacific Islander ,Other Race ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005012300,"Census Tract 123, Bronx County, New York",,0,67.63422,1.721038,27.63935,0,1.078859,1.926535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005012500,"Census Tract 125, Bronx County, New York",,0,66.48109,1.345395,28.36929,0.649501,1.600557,1.554164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005012701,"Census Tract 127.01, Bronx County, New York",,0,76.50972,2.507677,16.58137,0.921187,3.480041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005012901,"Census Tract 129.01, Bronx County, New York",,0,57.71226,2.476415,36.58019,0,2.099057,1.132075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005013000,"Census Tract 130, Bronx County, New York",,0,53.28265,43.46925,1.174845,0,0,2.073255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005013100,"Census Tract 131, Bronx County, New York",,0,69.80831,0.61901,28.49441,0,0.139776,0.938498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005013200,"Census Tract 132, Bronx County, New York",,0,48.82682,29.41341,13.37989,0,3.994413,4.385475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005013300,"Census Tract 133, Bronx County, New York",,0,60.39377,1.493027,35.78343,1.919606,0.410172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005013500,"Census Tract 135, Bronx County, New York",,0,63.32036,1.400778,33.85214,0,0,1.426719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005013800,"Census Tract 138, Bronx County, New York",,0,27.66643,61.30995,3.65068,0,5.332856,2.040086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005014100,"Census Tract 141, Bronx County, New York",,0,62.23837,0.328663,34.90746,0,1.141671,1.383844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005014300,"Census Tract 143, Bronx County, New York",,0,38.06452,5.253456,49.95392,0.737327,3.778802,2.211982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005014400,"Census Tract 144, Bronx County, New York",,0,62.14908,3.420458,31.54243,0,2.258793,0.629235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005014500,"Census Tract 145, Bronx County, New York",,0,60.49063,1.084813,36.6001,0.406805,0.086292,1.331361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005014701,"Census Tract 147.01, Bronx County, New York",,0,49.23098,0.964765,49.42673,0,0.111857,0.26566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005014702,"Census Tract 147.02, Bronx County, New York",,0,59.1626,1.314307,38.99737,0,0,0.525723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005014900,"Census Tract 149, Bronx County, New York",,0,59.73824,2.417924,35.24845,0,0.288376,2.30701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005015100,"Census Tract 151, Bronx County, New York",,0,56.96056,1.430781,40.95128,0,0,0.657386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005015200,"Census Tract 152, Bronx County, New York",,0,63.67201,22.99465,7.165775,0,3.101604,3.065954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005015300,"Census Tract 153, Bronx County, New York",,0,52.52049,0.983607,44.77459,0,1.127049,0.594262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005015500,"Census Tract 155, Bronx County, New York",,0,79.97303,0.269724,17.9029,0,0.842886,1.011463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005015700,"Census Tract 157, Bronx County, New York",,0,70.81329,1.168385,25.75029,0,1.260023,1.008018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005015800,"Census Tract 158, Bronx County, New York",,0,58.25688,29.26606,4.770642,0,4.587156,3.119266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005015900,"Census Tract 159, Bronx County, New York",,0,91.75,0.75,6.125,0,1.25,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016000,"Census Tract 160, Bronx County, New York",,0,24.02597,69.55544,1.373626,0,2.497502,2.547453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016100,"Census Tract 161, Bronx County, New York",,0,72.09515,0.343092,26.82983,0,0.73193,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016200,"Census Tract 162, Bronx County, New York",,0,50.9687,41.62941,5.067064,1.589667,0.397417,0.34774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016300,"Census Tract 163, Bronx County, New York",,0,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016400,"Census Tract 164, Bronx County, New York",,0,32.26121,60.23392,7.504873,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016500,"Census Tract 165, Bronx County, New York",,0,49.6008,0.399202,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016600,"Census Tract 166, Bronx County, New York",,0,60.181,29.77376,2.760181,0,5.520362,1.764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016700,"Census Tract 167, Bronx County, New York",,0,54.82877,1.335616,42.91096,0,0,0.924658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005016900,"Census Tract 169, Bronx County, New York",,0,43.05658,2.86554,54.07788,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005017100,"Census Tract 171, Bronx County, New York",,1,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005017300,"Census Tract 173, Bronx County, New York",,0,62.78195,1.484962,24.06015,0.281955,10.46992,0.921053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005017500,"Census Tract 175, Bronx County, New York",,0,65.20115,1.077586,29.22414,3.347701,0.215517,0.933908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005017701,"Census Tract 177.01, Bronx County, New York",,0,62.64346,1.0329,35.86458,0,0.17215,0.286917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005017702,"Census Tract 177.02, Bronx County, New York",,0,63.48824,0.555453,30.5499,0,1.870024,3.536382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005017901,"Census Tract 179.01, Bronx County, New York",,0,67.15571,0.958529,26.78013,3.442879,1.662754,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005017902,"Census Tract 179.02, Bronx County, New York",,0,44.80447,0.446927,50.41899,0,0,4.329609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005018101,"Census Tract 181.01, Bronx County, New York",,0,60.03911,0,38.72229,0,0,1.238592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005018102,"Census Tract 181.02, Bronx County, New York",,0,55.03333,3.930952,35.54948,0,3.828405,1.657836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005018301,"Census Tract 183.01, Bronx County, New York",,0,59.08751,2.817253,32.48566,0,4.736973,0.8726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005018302,"Census Tract 183.02, Bronx County, New York",,0,64.85923,2.502607,31.12617,0,0.469239,1.042753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005018400,"Census Tract 184, Bronx County, New York",,0,36.27423,56.84181,2.725485,0,2.191627,1.966845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
